Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Organization),Founded Date,Founded Date Precision,Website,Contact Email,Number of Articles,Number of Employees,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Type,IPO Date,IPO Status,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,IPqwery - Patents Granted
MWR InfoSecurity,https://www.crunchbase.com/organization/mwr-infosecurity,"Computer, Cyber Security, Network Security","Basingstoke, Hampshire, United Kingdom",MWR InfoSecurity provide specialist cyber security advice and solutions.,"19,142",2003-01-01,year,http://www.mwrinfosecurity.com,contact@mwrinfosecurity.com,67,251-500,2016-02-24,3000000,GBP,4179687,6000000,GBP,9275176,Series B,,Private,,,,,,0
Wallix,https://www.crunchbase.com/organization/wallix,"Accounting, Hardware, Security, Software","Paris, Ile-de-France, France","WALLIX is engaged in developing password management, access control and traceability into a single appliance.","19,451",2003-01-01,year,http://www.wallix.com,sales@wallix.com,2,51-100,2015-06-11,9100000,EUR,10230777,16384000,EUR,20214073,Series C,2015-06-16,Public,,,,ALLIX,https://www.crunchbase.com/ipo/wallix-ipo--786c5944,0
Cryptzone,https://www.crunchbase.com/organization/cryptzone,"Content, Security, Software","Gothenburg, Vastra Gotaland, Sweden",Cryptzone AB offers content encryption and security solutions. It offers data leak prevention solutions that secure data at rest.,"20,385",2003-01-01,year,http://www.cryptzone.com/,jan.wronkow@cryptzone.com,59,101-250,2015-06-18,15000000,USD,15000000,15000000,USD,15000000,Series B,,Private,,,,,,
Emerging Threats,https://www.crunchbase.com/organization/emerging-threats-pro,"Cyber Security, Enterprise Software, Security","Lafayette, Indiana, United States",Emerging Threats is a cyber security research organization.,"22,640",2003-01-01,year,http://www.emergingthreats.net,info@emergingthreats.net,23,11-50,2014-05-29,800000,USD,800000,2400000,USD,2400000,Convertible Note,,Private,,,,,,
Uplogix,https://www.crunchbase.com/organization/uplogix,"Enterprise Software, IT Management, Security","Austin, Texas, United States","Uplogix provides network monitoring and management solutions that improve control, connectivity and security.","24,205",2003-01-01,year,http://www.uplogix.com,info@uplogix.com,,51-100,2014-02-12,2425101,USD,2425101,48826149,USD,48826149,Series F,,Private,,,,,,2
Netwatch Group,https://www.crunchbase.com/organization/netmatch,"GPS, Navigation, Security","Carlow, Carlow, Ireland",Netwatch is a world leader in remote visual monitoring.,"32,399",2003-01-01,year,http://netwatchgroup.com/,admin@netwatchsystem.com,7,101-250,2016-07-06,9000000,EUR,9988346,19500000,EUR,21608531,Venture - Series Unknown,,Private,,,,,,
Hannah Systems,https://www.crunchbase.com/organization/hannah-systems,"Automotive, Autonomous Vehicles, Blockchain, Developer APIs, Developer Platform, Information Services, SaaS, Software","San Francisco, California, United States",Hannah delivers the next generation of enterprise dynamic routing that can reliably advance the management of traffic within our cities.,"33,577",2003-09-01,day,https://www.hannahsystems.com/,info@hannahsystems.com,,1-10,2018-10-23,100000,USD,100000,100000,USD,100000,Pre-Seed,,Private,,,,,,
Kromek,https://www.crunchbase.com/organization/kromek,"Medical, Security, Sensor","Durham, Durham, United Kingdom","Kromek is a supplier of patented radiation detection technologies tothe medical imaging, nuclear detection, and security screening markets.","34,343",2003-04-01,day,http://www.kromek.com,sales@kromek.com,,51-100,2017-01-25,21000000,GBP,26532404,75941530,USD,75941530,Post-IPO Equity,2013-10-25,Public,,,,KMK,https://www.crunchbase.com/ipo/kromek-ipo--3a34dd75,
Proxy Technologies,https://www.crunchbase.com/organization/proxy-technologies,"Enterprise Software, Information Technology, Security","Reston, Virginia, United States",Proxy Technologies develops and supplies optionally piloted aircraft and multi-aircraft cooperative flight control systems for the U.S.,"35,814",2003-01-01,year,http://www.proxyaviation.com,info@proxyaviation.com,1,11-50,2015-07-16,263350,USD,263350,3228023,USD,3228023,Seed,,Private,,,,,,9
VSS Monitoring,https://www.crunchbase.com/organization/vss-monitoring,"Business Intelligence, Enterprise Software, Security","Sunnyvale, California, United States",VSS Monitoring provides network intelligence optimization using a systems-approach for optimizing the network intelligence ecosystem.,"36,823",2003-01-01,year,http://www.vssmonitoring.com,,8,101-250,2010-08-24,20000000,USD,20000000,20000000,USD,20000000,Series A,,Private,,,,,,
Sipera Systems,https://www.crunchbase.com/organization/sipera-systems,"Communications Infrastructure, Information Technology, Management Information Systems, Messaging, Security, Telecommunications","Richardson, Texas, United States",Sipera Systems is a company providing solutions for the rapid and simple adoption of Unified Communications (UC).,"48,593",2003-01-01,year,http://www.sipera.com,,11,51-100,2010-05-18,10230000,USD,10230000,39730000,USD,39730000,Series D,,Private,,,,,,
CyberDefender,https://www.crunchbase.com/organization/cyberdefender,"Consumer, Internet, Security","Los Angeles, California, United States","CyberDefender provides remote technical support services, internet security software & utilities to ensure maximum safety of consumers.","53,550",2003-01-01,year,http://www.cyberdefendercorp.com,ir@cyberdefender.com,5,501-1000,2011-09-01,1789700,USD,1789700,13210580,USD,13210580,Venture - Series Unknown,2010-06-09,Delisted,,,,CYDE,https://www.crunchbase.com/ipo/cyberdefender-ipo--95e7ec27,
Aimetis,https://www.crunchbase.com/organization/aimetis,"IT Management, Security, Software","Waterloo, Ontario, Canada","Aimetis, a Senstar company, is a software company offering integrated intelligent video management solutions for security surveillance.","53,949",2003-01-01,year,http://www.aimetis.com,,9,101-250,2010-03-02,5000000,USD,5000000,5000000,USD,5000000,Series A,,Private,,,,,,0
IDology,https://www.crunchbase.com/organization/idology,"Identity Management, Information Services, Information Technology, Internet","Atlanta, Georgia, United States","IDology, Inc provides innovative technology solutions that verify an individual’s identity.","55,791",2003-01-01,year,https://www.idology.com/,info@idology.com,14,101-250,,,,,,,,,,Private,,,,,,0
Securlinx Integration Software,https://www.crunchbase.com/organization/securlinx-integration-software,"Data Integration, Enterprise Software, Security","Morgantown, West Virginia, United States","SecurLinx offers software that store, process and share biometric template information.","63,771",2003-01-01,year,http://securlinx.com,mail@securlinx.com,12,11-50,2013-08-13,1343225,USD,1343225,1343225,USD,1343225,Seed,,Private,,,,,,
SmileWorks Inc.,https://www.crunchbase.com/organization/smileworks-inc-,"Apps, Cloud Security, Web Design","Hirata, Shimane, Japan",SmileWorks Inc. designs and develops cloud- and web-based application services for ministries.,"64,980",2003-01-01,year,https://www.smile-works.co.jp,,,,2014-05-12,250000000,JPY,2448035,250000000,JPY,2448035,Series A,,Private,,,,,,
SecureLink,https://www.crunchbase.com/organization/securelink,"Computer, Network Security, Security","Wommelgem, Antwerpen, Belgium",SecureLink is remote access software designed for technology providers.,"66,819",2003-01-01,year,http://securelink.be,info@securelink.be,14,51-100,2013-01-24,,,,,,,Private Equity,,Private,,,,,,
Layer 7 Technologies,https://www.crunchbase.com/organization/layer-7-technologies,"Cloud Security, Enterprise Software, Identity Management, Security","Washington, District of Columbia, United States",Layer 7 Technologies provides security and management products for API-driven integrations spanning the extended hybrid enterprise.,"74,187",2003-01-01,year,http://www.layer7.com,info@layer7.com,38,101-250,2009-02-02,11000000,USD,11000000,22900000,USD,22900000,Venture - Series Unknown,,Private,,,,,,
Pof,https://www.crunchbase.com/organization/plentyoffish,"Identity Management, Internet","Vancouver, British Columbia, Canada","Plentyoffish is a free dating website offering premium services such as seeing when a user profile was viewed, and more.","76,525",2003-01-01,year,https://www.pof.com/,pr@pof.com,114,11-50,,,,,,,,,,Private,,,,,,
Velocity Technology Solutions,https://www.crunchbase.com/organization/velocity-technology-solutions,"Cloud Computing, Enterprise Software, IaaS, Private Cloud, Security, Web Hosting","Charlotte, North Carolina, United States",Velocity hosts ERP software and related applications for companies within its virtual private cloud environment.,"77,408",2003-01-31,day,https://velocitycloud.com,romy.ribitzky@velocitycloud.com,7,501-1000,2007-04-30,15000000,USD,15000000,15000000,USD,15000000,Series A,,Private,,,,,,1
Nets,https://www.crunchbase.com/organization/nets,"Blockchain, Financial Services, Information Services, Payments, Security, Software","Ballerup, Hovedstaden, Denmark","Nets is a provider of payments, card, and information services with an ambition.","78,695",2003-01-01,year,https://nets.eu,,3,1001-5000,2014-03-24,,,,,,,Venture - Series Unknown,2016-09-29,Delisted,,,,NETS,https://www.crunchbase.com/ipo/nets-ipo--53b56033,
Napatech,https://www.crunchbase.com/organization/napatech,"Cloud Computing, Cyber Security, Field-Programmable Gate Array (FPGA), Information Technology, Internet of Things, IT Infrastructure, Mobile, Network Hardware, Network Security","Los Altos, California, United States","Reconfigurable Computing platform powered by FPGA SmartNICs for cloud, mobile and datacenter networks.","79,763",2003-01-01,year,http://www.napatech.com,info@napatech.com,18,101-250,2007-03-08,7500000,USD,7500000,15022771,USD,15022771,Series C,2013-12-01,Public,,,,NAPA,https://www.crunchbase.com/ipo/napatech-ipo--df50ae22,
SecureLink,https://www.crunchbase.com/organization/securelink-us,"Information Technology, Security, Software","Austin, Texas, United States",SecureLink is a developer of vendor privileged access management and remote support software designed for secure and regulated industries.,"80,007",2003-02-27,day,https://www.securelink.com,info@securelink.com,1,101-250,2017-08-16,,,,,,,Private Equity,,Private,,,,,,
Vantos,https://www.crunchbase.com/organization/vantos,"Enterprise Software, Information Technology, Security","Seattle, Washington, United States",VANTOS is focused on offering solutions that are responsive to their customers’ evolving investigation needs.,"88,460",2003-01-01,year,http://www.vantos.com,,,51-100,2011-07-28,435000,USD,435000,18508487,USD,18508487,Debt Financing,,Private,,,,,,
AdaptiveMobile,https://www.crunchbase.com/organization/adaptivemobile,"Enterprise, Mobile, Security, Telecommunications","Dublin, Dublin, Ireland",AdaptiveMobile Ltd. operates as a mobile security provider for enterprises and individuals.,"92,620",2003-01-01,year,http://www.adaptive-mobile.com,,44,51-100,2018-04-10,,,,19500000,USD,19500000,Debt Financing,,Private,,,,,,
C6 Intelligence,https://www.crunchbase.com/organization/c6-intelligence,"Cyber Security, Finance, Risk Management","London, England, United Kingdom","Pinpointing Risk - Know Your Customer, KYC, Anti-Money Laundering, AML, Enhanced Due Dilligence, EDD, Sanctions Screening","93,078",2003-01-01,year,http://www.c6-intelligence.com,clientcare@c6-intelligence.com,14,51-100,,,,,,,,,,Private,,,,,,
Nettitude,https://www.crunchbase.com/organization/nettitude,"Cyber Security, Information Technology, Security","New York, New York, United States","Nettitude is a global leader in the delivery of cyber security testing, risk management, compliance and incident response services.","104,801",2003-01-01,year,https://www.nettitude.com/,solutions@nettitude.com,,51-100,,,,,,,,,,Private,,,,,,
FISCAL Technologies Inc.,https://www.crunchbase.com/organization/fiscal-technologies,"Analytics, Big Data, FinTech, Fraud Detection, Risk Management, SaaS, Software","Raleigh, North Carolina, United States",FISCAL Technologies offers purchase-to-pay forensics fraud and risk Saas software in the cloud.,"110,227",2003-06-03,day,http://www.fiscaltec.com,smarter@fiscaltec.com,2,51-100,2018-01-30,,,,,,,Series C,,Private,,,,,,
ETF Securities,https://www.crunchbase.com/organization/etf-securities,"Finance, FinTech, Security","London, England, United Kingdom",ETF securities is an consultation company that provides investment solutions to investors.,"111,839",2003-01-01,year,http://www.etfsecurities.com/,info@etfsecurities.com,54,51-100,2011-04-01,,,,10000000,USD,10000000,Private Equity,,Private,,,,,,
Vigilant,https://www.crunchbase.com/organization/vigilant-inc-5857,"Computer, IT Management, Network Security, Risk Management","Jersey City, New Jersey, United States","Vigilant provides security monitoring solutions through a combination of consulting, managed services, and threat intelligence.","122,632",2003-01-01,year,http://www.thevigilant.com/,,1,,,,,,,,,,,Private,,,,,,
Name.com,https://www.crunchbase.com/organization/name-com,"Identity Management, SEO, Web Hosting","Denver, Colorado, United States","Name.com offers domain name registration, web hosting, website builder tools, SSL, email, and more.","128,973",2003-01-01,year,http://www.name.com,support@name.com,6,1-10,,,,,,,,,,Private,,,,,,
Metasploit,https://www.crunchbase.com/organization/metasploit,"Enterprise Software, Information Technology, Network Security",,Metasploit offers penetration testing software that enables its users to monitor vulnerabilities and manage security assessments.,"130,702",2003-01-01,year,http://www.metasploit.com,info@rapid7.com,201,1-10,,,,,,,,,,Private,,,,,,
Outline Systems,https://www.crunchbase.com/organization/outline-systems,"Information Technology, Security, Software","Somerset, New Jersey, United States",Outline Systems is a software development firm that helps insurers efficiently and effectively put control where it belongs in their hands.,"131,256",2003-01-01,year,http://outlinesys.com,webinfo@outlinesys.com,,251-500,,,,,,,,,,Private,,,,,,0
Element Payment Services,https://www.crunchbase.com/organization/element-payment-services,"Cyber Security, Security","Phoenix, Arizona, United States",Element Payment Services provides integrated PCI DSS compliant payment processing solutions for software developers and merchants.,"134,203",2003-01-01,year,http://www.elementps.com,scyr@elementps.com,2,51-100,,,,,,,,,,Private,,,,,,0
Multi Commodity Exchange of India Ltd,https://www.crunchbase.com/organization/mcx,"Bitcoin, Blockchain, Energy, FinTech, Precious Metals, Trading Platform","Mumbai, Maharashtra, India","India’s first listed exchange, is a state-of-the-art, commodity futures exchange","138,765",2003-11-10,day,http://www.mcxindia.com/,info@mcxindia.com,396,51-100,2005-06-01,,,,,,,Venture - Series Unknown,2012-03-09,Public,,,,MCX,https://www.crunchbase.com/ipo/mcx-ipo--3306e85e,
IDscan Biometrics,https://www.crunchbase.com/organization/idscan-biometrics,"Computer, Data Integration, Identity Management, Software","London, England, United Kingdom",IDscan Biometrics is an identification software provider.,"140,476",2003-01-01,year,http://www.idscan.com,yavuz.yilmaz@idscan.co.uk,,51-100,,,,,,,,,,Private,,,,,,
Coresec Systems,https://www.crunchbase.com/organization/coresec-systems,Network Security,"Malmö, Skane Lan, Sweden",Coresec Systems is a Nordic cybersecurity and Managed Security Services provider,"142,314",2003-01-01,year,http://www.coresecsystems.com/,,1,251-500,,,,,,,,,,Private,,,,,,
Safend,https://www.crunchbase.com/organization/safend,"Enterprise Software, Network Security, Security","Tel Aviv, Tel Aviv, Israel",Safend is a provider of data leakage prevention solutions for enterprise endpoints.,"146,821",2003-01-01,year,http://www.safend.com,support@safend.com,6,11-50,2008-02-19,9000000,USD,9000000,16400000,USD,16400000,Series C,,Private,,,,,,13
Sparus Software,https://www.crunchbase.com/organization/sparus-software,"Mobile Devices, Security, Software, Technical Support","Paris, Ile-de-France, France","Sparus Software designs, develops and markets EveryWAN Mobility Manager, an innovative software suite.","147,354",2003-01-01,year,http://www.sparus-software.com,info@sparus-software.com,3,,2007-04-16,3000000,EUR,4064517,4100000,EUR,5483668,Series B,,Private,,,,,,
Mobilestack Inc,https://www.crunchbase.com/organization/mobilestack-inc,"Artificial Intelligence, Blockchain, Mobile, Virtualization, Wireless","Pleasanton, California, United States","5G reconfigurable, field-upgradable small cell RAN+Edge server for ""growing"" public safety, Rural, Enterprise and private IIoT markets ","147,605",2003-01-01,year,http://www.mobilestack.com,contact@mobilestack.com,,,2018-05-01,,,,,,,Series A,,Private,,,,,,
Trust Digital,https://www.crunchbase.com/organization/trust-digital,"Government, Mobile, Security","Mclean, Virginia, United States",Trust Digital provides enterprise smartphone security and management software for government organizations and various other companies.,"149,450",2003-03-01,day,http://trustdigital.com,info@trustdigital.com,36,11-50,2009-07-29,,,,26600000,USD,26600000,Venture - Series Unknown,,Private,,,,,,
nSense,https://www.crunchbase.com/organization/nsense,"Cyber Security, Network Security","Espoo, Southern Finland, Finland","nSense is a Finland-based IT security company that provides a wide range of consulting, assessment, and auditing services.","156,021",2003-01-01,year,http://www.nsense.net,info@nsense.net,1,501-1000,,,,,,,,,,Private,,,,,,
Charismathics,https://www.crunchbase.com/organization/charismathics,"Computer, Information Technology, Network Security","Munich, Bayern, Germany","Charismathics expertise in hardware security, the product of the new company was developed. ","169,148",2003-01-01,year,http://www.charismathics.com/,sales@charismathics.com,,,2008-09-02,,,,,,,Series A,,Private,,,,,,0
DeerTech,https://www.crunchbase.com/organization/nature-technologies,"Home and Garden, Information Technology, Natural Resources, Security","Pleasantville, New York, United States",DeerTech provides solutions to protect plants from deer damage.,"169,447",2003-01-01,year,http://www.deertechusa.com,barrington@savatree.com,1,,2006-03-02,4000000,USD,4000000,4644000,USD,4644000,Series B,,Private,,,,,,
ThruVision Systems,https://www.crunchbase.com/organization/thruvision-systems,"Electronics, Homeland Security, Law Enforcement, Manufacturing, Security","Abingdon, Oxfordshire, United Kingdom","ThruVision manufactures screening products which can detect objects under a person’s clothes, such as weapons and explosives.","169,836",2003-01-01,year,http://thruvision.com/,,1,11-50,,,,,,,,,,Private,,,,,,
Sensory Networks,https://www.crunchbase.com/organization/sensory-networks,"Content, Network Security, Software","Mountain View, California, United States",Sensory Networks provides software pattern matching and content processing acceleration solutions for network security equipment vendors.,"183,427",2003-01-01,year,http://www.sensorynetworks.com,info@sensorynetworks.com,15,11-50,2007-11-28,3270000,USD,3270000,23470000,USD,23470000,Series D,,Private,,,,,,
GeoTrust Europe,https://www.crunchbase.com/organization/geotrust,"Internet, Payments, Security","Mountain View, California, United States",Online security services company,"189,067",2003-01-01,year,http://www.geotrust.com,,61,11-50,2004-01-06,3499000,USD,3499000,39099000,USD,39099000,Series E,,Private,,,,,,
Sales Force Europe,https://www.crunchbase.com/organization/sales-force-europe,"Business Development, Cloud Computing, Consulting, Mobile, SaaS, Security, Wireless","Madrid, Madrid, Spain","Sales Force Europe is an international organization helping high-tech companies launch, develop, and expand their businesses worldwide.","194,192",2003-06-01,day,http://www.salesforceeurope.com,info@salesforceeurope.com,3,11-50,2003-06-01,250000,USD,250000,250000,USD,250000,Seed,,Private,,,,,,
Secure Element,https://www.crunchbase.com/organization/secure-element,"Information Technology, Network Security, Security","Herndon, Virginia, United States","Secure Elements, an enterprise vulnerability management leader, automates security remediation strategies.","194,448",2003-01-01,month,http://www.secure-elements.com/,,27,,2003-08-29,5000000,USD,5000000,5000000,USD,5000000,Series A,,Private,,,,,,
Optosecurity,https://www.crunchbase.com/organization/optosecurity,"Information Technology, Security, Transportation","Quebec, Quebec, Canada",Optosecurity develops and commercializes security products for the transportation and critical infrastructure markets.,"211,330",2003-01-01,year,http://www.optosecurity.com,info@optosecurity.com,,51-100,2007-01-29,15400000,USD,15400000,20500000,USD,20500000,Series B,,Private,,,,,,0
Red Condor,https://www.crunchbase.com/organization/red-condor,"Email, Management Information Systems, Security","Rohnert Park, California, United States","Red Condor is a managed service provider of email security systems for businesses, education, government agencies, and service providers.","215,923",2003-01-01,year,http://www.redcondor.com,info@redcondor.com,4,11-50,2007-08-08,7700000,USD,7700000,16200000,USD,16200000,Debt Financing,,Private,,,,,,
CardSmith,https://www.crunchbase.com/organization/cardsmith,Identity Management,"Brookline, Massachusetts, United States","CardSmith is a campus card solutions company serving educational institutions, healthcare facilities.","231,474",2003-01-01,year,http://www.card-smith.com/,,1,11-50,,,,,,,,,,Private,,,,,,
gateProtect AG,https://www.crunchbase.com/organization/gateprotect-ag,"Cyber Security, Information Technology, Service Industry","Hamburg, Hamburg, Germany",gateProtect AG is a UTM Firewall manufacturer.,"233,576",2003-01-01,year,http://gateprotect.de,,,,,,,,,,,,,Private,,,,,,
IntruGuard,https://www.crunchbase.com/organization/intruguard,"Computer, Consumer Electronics, Information Technology, Security, Social Network, Software","Sunnyvale, California, United States","IntruGuard is a leading supplier of Network Behavior Analysis (NBA) Systems for e-tailers, webhosts, social networking sites, Service","235,040",2003-01-01,year,http://www.intruguard.com,socialmedia@fortinet.com,,1001-5000,2005-01-01,6500000,USD,6500000,7960000,USD,7960000,Series B,,Private,,,,,,
Determina,https://www.crunchbase.com/organization/determina,"Cyber Security, Security, Service Industry","Redwood City, California, United States","Determina is a provider of security advisory services with advisories, updates, and configuration advice against emerging threats.","237,665",2003-01-01,year,http://www.determina.com,support@determina.com,1,1-10,2004-06-09,19000000,USD,19000000,19000000,USD,19000000,Venture - Series Unknown,,Private,,,,,,
NorthPoint Digital,https://www.crunchbase.com/organization/northpoint-digital,"Network Security, Professional Networking","New York, New York, United States","NorthPoint Digital, LLC is an award-winning organization delivering scalable technology.","243,761",2003-01-01,year,http://northpointdigital.com/,,,51-100,,,,,,,,,,Private,,,,,,0
SOREX,https://www.crunchbase.com/organization/sorex,"Home Services, Information Technology, Security","Wiener Neustadt, Niederosterreich, Austria",SOREX specializing in digital locking technology and contactless locking technology.,"244,895",2003-01-01,year,https://www.sorex.eu/,office@sorex.eu,,,2016-02-05,,,,,,,Seed,,Private,,,,,,
Robidus,https://www.crunchbase.com/organization/robidus,"Information Technology, Security, Software","Zaandam, Noord-Holland, The Netherlands",Robidus provides social security software used in a range of industries.,"245,764",2003-01-01,year,https://www.robidus.nl/,wia@robidus.nl,1,,,,,,,,,,,Private,,,,,,
TextAnywhere,https://www.crunchbase.com/organization/textanywhere,"Apps, Cyber Security, Information Technology, iOS, Marketing, Messaging, Software","Leeds, Leeds, United Kingdom",We offer a range of text message applications and services to help businesses send quality and trusted text messages to their customers.,"253,691",2003-01-01,year,http://www.textanywhere.net,welcome@textanywhere.net,,11-50,,,,,,,,,,Private,,,,,,
Rontal Applications,https://www.crunchbase.com/organization/rontal-applications,Security,"Modi'in, HaMerkaz, Israel","Rontal Applications provides physical security information management solutions to government, civilian, and business environments.","275,195",2003-01-01,year,http://www.rontal.co.il,info@rontal.com,,,2007-08-13,3500000,USD,3500000,3500000,USD,3500000,Series B,,Private,,,,,,
Bharosa,https://www.crunchbase.com/organization/bharosa,"Network Security, Security","Santa Clara, California, United States","As of July 18, 2007, Bharosa, Inc. was acquired by Oracle Corp. Bharosa, Inc. provides fraud detection and multifactor online","284,608",2003-01-01,year,http://www.bharosa.com,acquisition-inquiries_ww@oracle.com,15,11-50,,,,,,,,,,Private,,,,,,1
"Steelbox, Inc.",https://www.crunchbase.com/organization/steelbox-networks,Security,"Alpharetta, Georgia, United States","Steelbox develops and markets video switching, recording, and access systems for the video security industry.","285,288",2003-01-01,year,http://www.steelbox.com,mblount@steelbox.com,,101-250,2006-07-24,10000000,USD,10000000,10000000,USD,10000000,Series A,,Private,,,,,,
ID Warehouse,https://www.crunchbase.com/organization/id-warehouse,Security,,ID Warehouse is a supplier of people identification and security solutions.,"288,581",2003-01-01,year,http://www.idwarehouse.com.au/,sales@idwarehouse.com.au,,11-50,,,,,,,,,,Private,,,,,,
M5 Network Security,https://www.crunchbase.com/organization/m5-network-security,"Analytics, Security, Software","Canberra, Australian Capital Territory, Australia","M5 Network Security Pty Ltd is a fully Australian-owned company established in 2003, headquartered in Canberra with offices in Melbourne","307,658",2003-01-01,year,http://www.m5netsec.com.au,info@m5netsec.com.au,2,,,,,,,,,,,Private,,,,,,
Icontrol Networks - Piper,https://www.crunchbase.com/organization/icontrol-networks-piper,"Home Services, Security, Video","Ottawa, Ontario, Canada","Piper, based in Ottawa, Canada, designs, produces and sells a Wi-Fi-enabled video and home automation hub.","309,571",2003-01-01,year,,,,,,,,,,,,,,Private,,,,,,
SkyRecon Systems,https://www.crunchbase.com/organization/skyrecon-systems,"Business Information Systems, Database, Security","Paris, Ile-de-France, France","SkyRecon Systems offers StormShield, an endpoint protection platform for organizations to ensure the security of business data.","315,500",2003-01-01,year,http://www.skyrecon.com,drh@stormshield.eu,,51-100,2007-03-12,6500000,USD,6500000,10230000,USD,10230000,Series B,,Private,,,,,,
